"Порядковый номер";"ID участника";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Дата выбора конкурсной группы по Москве"
1;1313363;5;"—";275;"90 78 97";10;"Участвуете в конкурсе";"30.06.2026 в 11:46"
2;1707169;1;"—";269;"85 83 91";10;"Участвуете в конкурсе";"06.07.2026 в 21:08"
3;1855034;2;"—";265;"86 78 91";10;"Участвуете в конкурсе";"08.07.2026 в 21:26"
4;1547844;1;"—";259;"92 74 83";10;"Участвуете в конкурсе";"03.07.2026 в 16:46"
5;1569198;5;"—";259;"94 66 89";10;"Участвуете в конкурсе";"08.07.2026 в 14:40"
6;1356531;1;"—";256;"77 72 97";10;"Участвуете в конкурсе";"10.07.2026 в 21:02"
7;1531937;4;"Электронное";254;"86 80 78";10;"Участвуете в конкурсе";"03.07.2026 в 09:49"
8;1059827;2;"—";249;"75 91 83";0;"Участвуете в конкурсе";"10.07.2026 в 17:33"
9;1488326;5;"—";248;"79 78 81";10;"Конкурсная группа исключена";"02.07.2026 в 14:46"
10;1359038;4;"Электронное";246;"73 91 72";10;"Участвуете в конкурсе";"30.06.2026 в 20:54"
11;1774734;4;"—";244;"85 76 73";10;"Участвуете в конкурсе";"07.07.2026 в 15:30"
12;1353790;3;"—";242;"75 78 89";0;"Участвуете в конкурсе";"30.06.2026 в 19:13"
13;1638061;2;"—";240;"63 91 86";0;"Участвуете в конкурсе";"05.07.2026 в 14:24"
14;998593;5;"—";240;"79 87 64";10;"Участвуете в конкурсе";"12.07.2026 в 14:03"
15;1203526;5;"—";235;"68 74 83";10;"Участвуете в конкурсе";"28.06.2026 в 17:54"
16;1585777;1;"—";230;"70 78 72";10;"Участвуете в конкурсе";"03.07.2026 в 23:47"
17;1033839;1;"—";228;"73 74 81";0;"Конкурсная группа исключена";"27.06.2026 в 13:15"
18;1850416;7;"—";227;"70 74 73";10;"Участвуете в конкурсе";"08.07.2026 в 19:16"
19;1631880;2;"—";226;"73 78 75";0;"Конкурсная группа исключена";"05.07.2026 в 14:01"
20;1694267;3;"—";220;"72 72 73";3;"Участвуете в конкурсе";"06.07.2026 в 14:11"
21;1199048;6;"—";219;"70 70 69";10;"Участвуете в конкурсе";"28.06.2026 в 16:02"
22;1702197;3;"—";216;"56 77 83";0;"Участвуете в конкурсе";"11.07.2026 в 23:58"
23;1201531;5;"Электронное";211;"64 74 63";10;"Участвуете в конкурсе";"13.07.2026 в 18:56"
24;1278080;3;"Электронное";210;"70 76 64";0;"Участвуете в конкурсе";"03.07.2026 в 01:27"
25;1324661;4;"—";210;"79 70 58";3;"Участвуете в конкурсе";"03.07.2026 в 08:24"
26;1143850;1;"Электронное";207;"67 74 66";0;"Участвуете в конкурсе";"26.06.2026 в 12:33"
27;1482064;2;"—";207;"62 72 70";3;"Участвуете в конкурсе";"10.07.2026 в 17:11"
28;1105971;7;"Электронное";205;"64 74 61";6;"Участвуете в конкурсе";"30.06.2026 в 19:02"
29;1180415;2;"Электронное";204;"59 78 67";0;"Участвуете в конкурсе";"27.06.2026 в 22:13"
30;2055803;2;"—";200;"66 64 70";0;"Участвуете в конкурсе";"14.07.2026 в 00:24"
31;1237740;1;"—";198;"64 70 64";0;"Участвуете в конкурсе";"29.06.2026 в 21:15"
32;1199528;1;"—";196;"63 72 61";0;"Участвуете в конкурсе";"28.06.2026 в 16:13"
33;1164183;5;"—";196;"68 58 69";1;"Участвуете в конкурсе";"30.06.2026 в 15:37"
34;1618894;3;"—";195;"62 78 55";0;"Участвуете в конкурсе";"06.07.2026 в 21:13"
35;1646246;2;"—";192;"67 68 57";0;"Участвуете в конкурсе";"05.07.2026 в 18:12"
36;1463726;1;"—";189;"62 60 67";0;"Участвуете в конкурсе";"06.07.2026 в 22:56"
37;1355300;1;"Электронное";187;"48 70 69";0;"Участвуете в конкурсе";"13.07.2026 в 10:52"
38;1337195;3;"—";186;"63 60 63";0;"Участвуете в конкурсе";"30.06.2026 в 15:27"
39;1897473;1;"—";186;"56 58 72";0;"Участвуете в конкурсе";"11.07.2026 в 21:11"
40;1653177;1;"—";184;"64 72 48";0;"Участвуете в конкурсе";"06.07.2026 в 18:44"
41;1903463;5;"—";182;"52 64 64";2;"Участвуете в конкурсе";"13.07.2026 в 18:07"
42;1833425;3;"—";181;"60 60 61";0;"Участвуете в конкурсе";"08.07.2026 в 14:43"
43;1410529;1;"—";180;"49 68 63";0;"Участвуете в конкурсе";"01.07.2026 в 14:52"
44;1578109;6;"—";173;"52 49 69";3;"Участвуете в конкурсе";"03.07.2026 в 19:34"
45;1105192;1;"—";172;"60 66 46";0;"Участвуете в конкурсе";"24.06.2026 в 21:09"
46;1242174;3;"—";172;"56 47 69";0;"Участвуете в конкурсе";"29.06.2026 в 21:20"
47;1535284;2;"—";172;"51 64 57";0;"Конкурсная группа исключена";"08.07.2026 в 11:20"
48;1126727;1;"—";172;"63 47 58";4;"Участвуете в конкурсе";"25.06.2026 в 16:27"
49;1116096;6;"—";171;"49 64 55";3;"Участвуете в конкурсе";"25.06.2026 в 14:18"
50;1308842;3;"Электронное";170;"55 48 67";0;"Участвуете в конкурсе";"30.06.2026 в 11:02"
51;1497122;1;"Электронное";169;"48 52 69";0;"Участвуете в конкурсе";"03.07.2026 в 20:24"
52;1332086;1;"—";162;"51 51 60";0;"Участвуете в конкурсе";"01.07.2026 в 11:19"
53;1276674;1;"—";160;"48 58 54";0;"Участвуете в конкурсе";"29.06.2026 в 21:58"
54;1843105;5;"—";156;"47 55 52";2;"Участвуете в конкурсе";"13.07.2026 в 13:13"
55;1081682;1;"—";154;"45 51 58";0;"Участвуете в конкурсе";"10.07.2026 в 19:13"
56;1278082;1;"—";152;"52 42 58";0;"Участвуете в конкурсе";"29.06.2026 в 21:58"
57;1911976;2;"—";147;"47 55 43";2;"Участвуете в конкурсе";"09.07.2026 в 21:40"
58;1517079;2;"—";143;"47 47 46";3;"Участвуете в конкурсе";"02.07.2026 в 21:55"
59;1277384;1;"—";141;"48 47 46";0;"Участвуете в конкурсе";"29.06.2026 в 21:58"
60;1746824;2;"—";59;"59";0;"Ожидаются результаты испытаний";"09.07.2026 в 12:03"
61;1266531;1;"—";0;"—";0;"На рассмотрении";"29.06.2026 в 21:52"
62;1631988;4;"—";0;"—";0;"Конкурсная группа исключена";"05.07.2026 в 13:06"
63;1688569;1;"—";0;"—";0;"Ожидаются результаты испытаний";"06.07.2026 в 17:52"
64;1726884;1;"—";0;"—";0;"Конкурсная группа исключена";"06.07.2026 в 21:49"
65;1732608;6;"Электронное";0;"—";0;"На рассмотрении";"08.07.2026 в 22:06"
66;1762672;3;"—";0;"—";10;"Ожидаются результаты испытаний";"07.07.2026 в 15:40"
67;1774645;1;"—";0;"—";0;"Ожидаются результаты испытаний";"07.07.2026 в 15:56"
68;1896848;1;"—";0;"—";0;"На рассмотрении";"09.07.2026 в 15:48"